TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,TEAM_NAME_y,GP_y,W_y,L_y,W_PCT_y,MIN_y,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS_y,GP_RANK_y,W_RANK_y,L_RANK_y,W_PCT_RANK_y,MIN_RANK_y,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_BLKA_RANK,OPP_PF_RANK,OPP_PFD_RANK,OPP_PTS_RANK,PLUS_MINUS_RANK_y,CFID_y,CFPARAMS_y,PLAYOFF_RANKING,SEASON
1610612754,Indiana Pacers,46,23,23,0.5,53.1,37.6,83.1,0.453,5.7,15.0,0.382,22.4,31.0,0.723,13.5,33.2,46.7,22.6,17.8,7.6,5.8,6.1,26.0,0.4,103.4,2.2,18,14,13,14,9,23,27,15,20,23,4,3,2,19,15,3,5,19,20,26,11,23,23,2,15,12,10,Indiana Pacers,Indiana Pacers,46,23,23,0.5,53.1,37.3,87.0,0.428,6.7,19.8,0.34,19.9,27.5,0.725,14.4,30.5,44.9,22.4,17.1,9.0,6.1,5.8,26.0,26.0,101.2,-2.2,18,14,13,14,9,7,19,4,18,24,5,15,15,10,21,11,14,8,19,17,23,11,27,7,9,12,10,Indiana Pacers,0,1996-97
1610612745,Houston Rockets,48,32,16,0.667,51.8,38.7,83.6,0.462,8.3,23.2,0.359,20.3,27.4,0.74,12.4,33.3,45.7,25.8,18.7,9.2,4.5,5.1,21.2,0.2,105.9,3.6,3,7,9,9,21,12,25,6,4,3,15,12,13,14,26,2,10,4,27,10,23,9,2,18,6,10,10,Houston Rockets,Houston Rockets,48,32,16,0.667,51.8,39.3,89.1,0.441,7.1,20.2,0.352,16.6,22.9,0.725,13.3,30.2,43.4,24.0,15.7,9.4,5.1,4.5,23.4,21.2,102.3,-3.6,3,7,9,9,21,18,27,11,25,28,11,4,4,11,9,8,7,20,27,23,9,23,9,28,11,10,10,Houston Rockets,0,1996-97
1610612744,Golden State Warriors,46,17,29,0.37,51.2,38.4,84.2,0.456,6.5,18.0,0.36,22.0,27.9,0.79,13.1,28.7,41.8,24.1,17.7,8.4,4.9,4.9,23.4,0.1,105.3,-4.5,18,20,21,20,24,15,23,12,14,15,14,5,10,1,20,27,28,12,19,21,19,8,9,25,11,22,10,Golden State Warriors,Golden State Warriors,46,17,29,0.37,51.2,41.2,87.1,0.472,7.2,19.7,0.364,20.3,27.2,0.747,15.1,29.8,45.0,27.6,17.5,10.0,4.9,4.9,24.4,23.4,109.8,4.5,18,20,21,20,24,28,20,28,26,23,19,18,13,26,27,5,16,29,14,26,8,19,16,21,29,22,10,Golden State Warriors,0,1996-97
1610612765,Detroit Pistons,46,34,12,0.739,56.0,39.7,86.4,0.459,8.4,21.1,0.4,20.7,27.2,0.76,13.0,32.2,45.2,21.6,15.2,8.9,3.8,3.8,22.8,0.2,108.4,8.6,18,4,2,3,2,5,8,8,3,5,2,9,14,5,22,9,13,25,2,15,28,2,7,14,3,2,10,Detroit Pistons,Detroit Pistons,46,34,12,0.739,56.0,38.2,87.2,0.439,7.6,20.1,0.378,15.7,22.0,0.715,13.6,31.6,45.2,25.0,17.8,6.6,3.8,3.8,25.1,22.8,99.8,-8.6,18,4,2,3,2,11,21,10,29,27,25,2,2,5,12,21,18,24,12,1,2,28,22,23,6,2,10,Detroit Pistons,0,1996-97
1610612743,Denver Nuggets,48,16,32,0.333,51.4,38.0,86.2,0.441,7.7,20.7,0.373,19.6,25.7,0.765,13.1,31.3,44.4,25.2,17.5,6.8,6.4,5.9,24.3,0.2,103.4,-3.8,3,23,24,24,23,19,10,21,6,7,6,19,25,2,21,11,17,6,17,29,6,21,16,5,14,20,10,Denver Nuggets,Denver Nuggets,48,16,32,0.333,51.4,41.0,89.1,0.46,6.1,15.2,0.398,19.1,25.9,0.737,13.8,30.7,44.4,23.0,14.7,8.7,5.9,6.4,22.9,24.3,107.2,3.8,3,23,24,24,23,26,26,21,9,3,29,9,8,17,16,12,9,9,29,13,21,6,5,14,25,20,10,Denver Nuggets,0,1996-97
1610612742,Dallas Mavericks,44,16,28,0.364,52.1,38.0,84.6,0.45,6.2,17.9,0.348,18.8,26.9,0.697,13.6,30.2,43.8,23.2,18.1,8.9,4.4,5.7,25.1,0.2,101.1,-6.0,27,23,19,22,17,21,22,16,16,16,20,24,16,26,14,19,19,15,22,14,24,16,21,7,24,25,10,Dallas Mavericks,Dallas Mavericks,44,16,28,0.364,52.1,39.3,86.2,0.456,7.3,19.0,0.381,21.1,28.5,0.739,15.4,31.9,47.3,23.4,17.3,9.1,5.7,4.4,23.2,25.1,107.0,6.0,27,23,19,22,17,19,16,17,27,20,27,20,20,18,28,23,28,13,17,19,16,24,7,9,24,25,10,Dallas Mavericks,0,1996-97
1610612739,Cleveland Cavaliers,47,25,22,0.532,56.6,39.2,86.2,0.455,7.3,18.6,0.393,17.3,24.0,0.718,13.4,31.2,44.5,24.9,17.3,9.8,5.1,5.4,27.2,0.3,103.0,4.0,13,11,12,12,1,10,11,14,9,11,3,27,28,22,19,13,16,8,16,3,17,14,29,3,16,8,10,Cleveland Cavaliers,Cleveland Cavaliers,47,25,22,0.532,56.6,34.9,80.4,0.434,6.6,17.2,0.385,22.5,30.1,0.749,12.0,30.9,42.8,23.6,19.6,7.8,5.4,5.1,25.1,27.2,99.0,-4.0,13,11,12,12,1,2,1,7,17,12,28,25,24,28,2,14,5,16,2,3,14,17,21,1,4,8,10,Cleveland Cavaliers,0,1996-97
1610612766,Charlotte Hornets,48,29,19,0.604,53.4,39.3,85.6,0.459,7.7,18.2,0.424,20.4,26.7,0.763,12.4,31.0,43.4,26.4,16.4,7.7,4.4,5.1,23.6,0.2,106.6,-0.1,3,10,10,10,7,8,17,9,7,14,1,11,17,3,27,14,24,3,4,25,25,10,12,8,5,14,10,Charlotte Hornets,Charlotte Hornets,48,29,19,0.604,53.4,41.0,89.6,0.458,6.8,18.5,0.368,17.8,24.7,0.723,14.3,31.3,45.6,23.7,15.4,7.2,5.1,4.4,24.3,23.6,106.7,0.1,3,10,10,10,7,27,28,18,20,16,20,5,6,9,19,19,22,17,28,2,10,25,15,18,22,14,10,Charlotte Hornets,0,1996-97
1610612764,Washington Bullets,47,22,25,0.468,51.1,40.6,86.3,0.471,4.5,13.4,0.334,16.8,24.4,0.688,12.7,30.7,43.4,24.5,16.8,9.3,5.4,4.3,22.8,0.1,102.5,-0.4,13,16,15,16,25,2,9,4,27,26,26,28,26,28,25,15,22,10,10,8,13,4,6,23,18,15,10,Washington Bullets,Washington Bullets,47,22,25,0.468,51.1,39.1,86.1,0.454,6.4,17.2,0.371,18.3,24.0,0.762,13.5,31.2,44.7,21.9,18.2,8.9,4.3,5.4,22.4,22.8,102.9,0.4,13,16,15,16,25,15,15,15,13,11,23,7,5,29,11,16,11,7,5,15,4,13,2,24,14,15,10,Washington Bullets,0,1996-97
1610612741,Chicago Bulls,82,62,20,0.756,53.2,41.0,91.0,0.451,4.2,12.9,0.323,20.0,26.9,0.743,16.6,32.6,49.3,26.1,15.8,9.3,4.7,4.8,22.6,0.2,106.2,7.8,1,1,1,1,8,1,1,16,17,14,23,20,22,14,3,6,1,5,7,10,21,3,4,20,8,3,10,Chicago Bulls,Chicago Bulls,82,62,20,0.756,53.2,37.4,86.8,0.431,4.4,13.7,0.322,19.1,26.2,0.729,13.6,30.0,43.6,21.3,17.0,8.7,4.8,4.7,23.7,22.6,98.4,-7.8,1,1,1,1,8,7,16,5,8,13,4,5,6,6,10,7,7,2,11,13,3,21,12,26,3,3,10,Chicago Bulls,1,1997-98
1610612737,Atlanta Hawks,82,50,32,0.61,53.9,39.1,86.1,0.455,4.6,13.8,0.332,23.7,31.4,0.756,15.0,32.8,47.7,21.3,16.5,8.8,6.7,5.0,22.7,0.2,106.5,3.9,1,10,10,10,2,11,15,11,13,13,21,3,3,7,7,5,5,26,11,18,4,10,5,17,4,9,10,Atlanta Hawks,Atlanta Hawks,82,50,32,0.61,53.9,40.1,90.8,0.442,4.7,13.8,0.342,17.6,24.0,0.735,14.7,29.2,43.8,23.8,15.2,8.4,5.0,6.7,25.6,22.7,102.6,-3.9,1,10,10,10,2,22,29,11,15,15,12,2,1,14,19,3,8,18,25,5,10,4,26,25,13,9,10,Atlanta Hawks,0,1997-98
